,sentences
895,  ஒரு தீவில் உள்ள மிகப்பெரிய ஏரி 
896,  கிரேக்க நாட்டைச் சேர்ந்த மருத்துவ அறிஞர் ஆவார் 
897,  ஆர் லக்ஸ்மி மற்றும் பலரும் நடித்துள்ளனர் 
898,  அருள் கூர்ந்து அமைதி கொள்ள வேண்டுகிறேன் 
899,  நீண்ட நாட்களாக எழுத நினைத்து வரும் ஒன்று 
900,  மற்றவர்கள் மிகச் சிறந்த பக்தர்கள் மட்டுமே 
901,  இந்த நோக்கில் இதில் பல வசதிகள் உள்ளன 
902,  ஆனால் இதை உறுதி செய்ய முடியவில்லை 
903,  இது நாட்டிய இசையில் முக்கிய இடம் பெறுகிறது 
904,  விளையாட்டு பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
905,  கோபாலகிருஷ்ணன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் முத்துராமன் சுஜாதா மற்றும் பலரும் நடித்துள்ளனர் 
906,  ஐக்கிய அமெரிக்க நாடுகள் என்பது விக்கித் திட்டம் நாடுகளின் ஒரு பகுதியாகும் 
907,  எளிய தமிழில் தரமான கட்டற்ற கலைக்களஞ்சியம் 
908,  ஒவ்வொரு நாளும் மேற் குறிப்பிட்ட ஏதாவதொரு பெயரைக் கொண்டிருக்கும் 
909,  லக்ஸ்மி தேவி மற்றும் பலரும் நடித்துள்ளனர் 
910,  குறிப்பாக அரசியல் சமயம் மெய்யியல் சமூக அறிவியல் விடயங்களில் 
911,  பரவலாகப் பயன் பட்டு வரும் வேதியியல் என்றுதான் எழுதி உள்ளேன் 
912,  விடுதலைப் போராட்ட வீரர்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
913,  விளையாட்டுக்கள் தொடர்பான கட்டுரைகள் இந்த பக்க வகையில் அடங்கும் 
914,  நான் தொடர்ந்தும் கட்டுரைகளை நீக்கி வருவது விக்கிபீடியாவின் தரம் பேண மட்டுமே 
915,  பொது என்ற அமைப்பில் பாடல்கள் அமைந்துள்ளன 
916,  மாணவர்கள் தமிழ் விக்கி கட்டுரைகளைப் புரிந்து கொள்ள இதுவே இலகுவான வழி 
917,  தமிழ் விக்கியில் கட்டுரைத் தலைப்பு தமிழில் மட்டுமே இருக்க வேண்டும் என்பது வழமை 
918,  தமிழ் நாட்டு மாநில அரசியல் கட்சி ஆகும் 
919,  சிறுவர் மலர் நாடகங்களில் ஆரம்பித்து மேடை நாடகங்களில் நிறைய நடித்தவர் 
920,  எனக்கும் இலங்கையில் அமைதி மீண்டும் ஏற்படும் என்ற நம்பிக்கை குறைந்து வருகின்றது 
921,  கட்டுரைகள் எழுதும்போது கலைக்களஞ்சிய நடையில் எழுதுங்கள் 
922,  பிரகாஷ் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் கிளௌன் சுந்தரம் மற்றும் பலரும் நடித்துள்ளனர் 
923,  ஐக்கிய அமெரிக்க நாடுகள் என்பது தான் சரியான பெயர் 
924,  ஸ்ரீ என்ற கிரந்த எழுத்து வடிவம் என்ற கிரந்த எழுத்தில் இருந்து தோன்றியது ஆகும் 
925,  பின்னர் ஜெர்மன் குறிப்பிடத்தக்க வளர்ச்சி கண்டது 
926,  என்னை பொறுத்தவரை கட்டுரை எண்ணிக்கை தரம் பரப்பு மூன்றும் முக்கியம் 
927,  ஒப்பந்தம் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
928,  விக்கிபீடியா பயனர்கள் அரசன் உடைய ஆக்கத்தை அடிப்படையாகக் கொண்டது 
929,  விக்கிப்பீடியா இன்றைய சிறப்புப் படம் குறித்த கட்டுரையைத் தொடங்குங்கள் 
930,  ஸ்ரீநிவாசன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ரவிச்சந்திரன் கே. ஆர். விஜயா மற்றும் பலரும் நடித்துள்ளனர் 
931,  இது போல் நாட்டில் பல திட்டங்கள் இருக்கின்றன 
932,  காப்புரிமை தொடர்பாக தமிழ்நாட்டு அரசு தளம் தெளிவாக இல்லை 
933,  விக்கிப்பீடியா இன்றைய சிறப்புப் படம் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
934,  ஸ்ரீநிவாசன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் தேங்காய் ஸ்ரீநிவாசன் சுஜாதா மற்றும் பலரும் நடித்துள்ளனர் 
935,  மொழி என்பது சமூகத்தின் ஒரு கூறு தான் 
936,  ரவி உலக அளவில் அது என்ன உலக அளவு 
937,  ஆனந்தன் அசோகன் மற்றும் பலரும் நடித்துள்ளனர் 
938,  மேலும் தமிழில் ஐக்கிய அமெரிக்க நாடுகள் என்பதுதான் பொதுவான வழக்கு 
939,  சஞ்சிகை என்பது இலங்கையில் பரவலாகப் பயன்படுகிறது 
940,  உமாபதி தமிழ் கூகுள் தளம் ஏற்கனவே உள்ளது 
941,  வைணவ இலக்கியங்கள் குறித்த கட்டுரையைத் தொடங்குங்கள் 
942,  சுந்தர் உங்களின் பொருள் விளக்கம் சரியே 
943,  உலகிலேயே போக்குவரத்து மிகுந்த வானூர்தி நிலையங்கள் பற்றிய தகவல்கள் இக்கட்டுரையில் தரப்பட்டுள்ளன 
944,  லெக் வலேசா என்பது சரியான உச்சரிப்பு 
945,  இதற்குக் காரணம் என்ன என்பதும் தெரியவில்லை 
946,  விக்கிமீடியா பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
947,  குமார் பற்றிய கட்டுரையின் விருத்தி தொடர்பான கலந்துரையாடலுக்கான பேச்சுப் பக்கமாகும் 
948,  இந்த பக்கத்தை தமிழ் விக்கிபீடியாவிற்கு ஏற்ப மாற்று எழுத வேண்டும் 
949,  துரை இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் விஜயகுமார் ரஜினிகாந்த் மற்றும் பலரும் நடித்துள்ளனர் 
950,  ஐக்கிய நாடுகள் சபை உறுப்பு நாடுகள் பார்க்கவும் 
951,  இது போன்ற கட்டுரைகளை விக்கி மூலம் தளத்தில் இடலாம் என நினைக்கிறேன் 
952,  விசை அலகுகள் பற்றிய கட்டுரைகள் இந்த பக்க வகையில் அடங்கும் 
953,  தேவி பிலிம்ஸ் நிறுவனத்தினரால் வெளிவந்த இத்திரைப்படத்தில் கல்யாண ராம மற்றும் பலரும் நடித்துள்ளனர் 
954,  வலைப்பதிவுகளில் நான் என்பது தவிர்க்க முடியாத ஒன்று 
955,  ரவி கலைக்களஞ்சியம் என்பது நல்ல பொருத்தமான சொல் 
956,  அதுவே இருக்கலாம் என்பது எனக்கு உடன்பாடே 
957,  எனினும் பாளி மொழி பற்றிப் பல்வேறு கருத்து வேறுபாடுகள் உள்ளன 
958,  எனினும் இது தற்பொழுது எந்த அளவு பயன் தரும் எனத் தெரியவில்லை 
959,  உயிரியல் குறித்து நிறைய எழுத ஆவல் 
960,  முதலில் இதைப் பதிவிறக்கம் செய்து கொள்ளவும் 
961,  தலைப்பு எவ்வளவு பொருத்தம் என்று பிற பயனர்களும் கருத்து சொன்னால் நன்றாக இருக்கும் 
962,  ஸ்ரீநிவாசன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்சங்கர் ஜெயலலிதா மற்றும் பலரும் நடித்துள்ளனர் 
963,  விக்கிபீடியா பயனர்கள் பாலாஜி மற்றும் கோபி மற்றும் விக்கிபீடியாவின் அனாமதேய பயனர்கள் உடைய ஆக்கத்தை அடிப்படையாகக் கொண்டது 
964,  பின்னர் இவர் ஞானம் பெற்று புத்தர் ஞானம் பெற்றவர் ஆனார் 
965,  மூன்றாவது மனிதன் பதிப்பகம் தரமான நூல்களையும் வெளியிட்டு வருகிறது 
966,  இது ஐயா திரைப்படம் பற்றிய கட்டுரையின் விருத்தி தொடர்பான கலந்துரையாடலுக்கான பேச்சுப் பக்கமாகும் 
967,  குறிப்பிடத்தக்க தகவல்கள் ஏதும் இல்லையெனில் அவற்றை நீக்கலாம் 
968,  இது ஒரு விதத்தில் நல்லது தான் 
969,  கோபி வங்காள தமிழியல் என்பதும் பொருந்தும் 
970,  உலகிலேயே மிகப் பெரிய ஏரி இதுவே 
971,  கோயம்புத்தூர் மாவட்டமும் இதன் எல்லைகளாக அமைந்துள்ளன 
972,  நல்ல சுருக்கமான கட்டுரை சுந்தர் ரவி 
973,  நான் பிறந்து வளர்ந்த இடம் சென்னை 
974,  ராதா நடித்து வெளிவந்த சில திரைப்படங்கள் 
975,  முதலில் நாள்மீன் என்பதன் பொருளை என்னால் விளங்கிக் கொள்ள முடியாமல் இருந்தது 
976,  இப்பகுப்பில் ஐரோப்பாவில் காணப்படும் பறவைகள் அடங்கும் 
977,  ஸ்ரீநிவாசன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ரஜினிகாந்த் லக்ஸ்மி மற்றும் பலரும் நடித்துள்ளனர் 
978,  தேவநாகரி எழுத்துக்கள் தொடர்பாக எனக்கு இது குறித்து பெரிய தெளிவு ஏதும் இல்லை 
979,  கிட்டத்தட்ட இந்த சமூகத்தின் மன்னர்கள் என்று கூறலாம் 
980,  கருநாடக இசைக் கலைஞர்கள் குறித்த கட்டுரையைத் தொடங்குங்கள் 
981,  தரமான விரிவான கட்டுரை எழுதுவது ஒரு கலை தான் 
982,  நான் நாடுகள் பற்றி எனது கவனத்தை செலுத்த உள்ளேன் 
983,  இதுவே தென்கிழக்கு ஆசியாவில் மக்கள் தொகை மிகுந்த நாடு ஆகும் 
984,  எனவே இரண்டையும் இணைத்து விடலாம் என்ற உங்களது கருத்து சரியே 
985,  பருத்தி பற்றிய பழங்கால குறிப்புகள் இந்தியாவில் உள்ளன 
986,  சுவாமி இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் பி.எஸ்.ஸ்ரீநிவாசராவ் எஸ்.ஆர்.சாந்தோ மற்றும் பலரும் நடித்துள்ளனர் 
987,  விசை பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
988,  இந்நகரம் நன்கு தொழில் வளர்ச்சியடைந்த நகரமாகும் 
989,  அப்படியே ஏற்கனவே பல பகுப்புக்கள் உண்டு 
990,  விஜய நாராயணன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்சங்கர் லக்ஸ்மி மற்றும் பலரும் நடித்துள்ளனர் 
991,  கோபி லைடன் தீவு என்பதே பொதுப் பயன்பாட்டில் இருக்கும் செல் 
992,  கருநாடக இசைக் கலைஞர்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள் 
993,  முற்காலத்தில் இது மிகவும் பெரிதாக இருந்தது என்று கூறப்படுகின்றது 
994,  படிமங்கள் பற்றிய ஒரு தெளிவான நிலைப்பாடு 
995,  இதுவே சரியான ஆட்சி காலம் ஆகும் 
996,  என்னால் இயன்ற அளவு தகவல்களைச் சேர்த்துள்ளேன் 
997,  நற்கீரன் இது ஒரு வகையான வகைப்படுத்தல் மட்டுமே 
998,  உங்களின் தமிழ் எழுத்தில் சற்று அதிகமான எழுத்துப் பிழைகள் இருக்கின்றன 
999,  இது அரசு உதவி பெறும் பள்ளி 
1000,  இவற்றின் எண்ணிக்கை பற்றிய தகவல்கள் இல்லை 
1001, அது குறித்த தகவல்களை தேடி எடுத்து தருகிறேன்
1002, தலித் இலக்கியம் பற்றி பல கட்டுரை எழுதியுள்ளார்
1003, இம்மொழி வங்காள தேசம் மற்றும் இந்தியாவின்
1004, ஏன் என்றால் உங்கள் ஆங்கிலம் நன்று
1005, எனவே லைடன் நெதர்லாந்து பொருத்தம் என்றே தோன்றுகின்றது
1006, கருநாடக இசை அறிஞர்கள் குறித்த கட்டுரையைத் தொடங்குங்கள்
1007, முத்துராமன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் முத்துராமன் ஜெயலலிதா மற்றும் பலரும் நடித்துள்ளனர்
1008, இக்கட்டுரை குறித்து உங்களிடம் மேலும் தகவல்கள் இருந்தால் அருள்கூர்ந்து எனக்கு தெரிவிக்கவும்
1009, இது ஒரு பெரிய பிரச்சினை இல்லை என்று நினைக்கின்றேன்
1010, வைணவ இலக்கியங்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள்
1011, எனது ஆங்கில விக்கிபீடியா பயனர் பக்கம்
1012, தற்போதைய நிலைமை ஒரு தொடக்க புள்ளி மட்டுமே
1013, இதன் எல்லைகளாக யாழ்ப்பாணம் கிளிநொச்சி மன்னார் வவுனியா திருகோணமலை விளங்குகின்றன
1014, இதை நான் உங்களுக்கு சொல்ல வேண்டியதில்லை
1015, தங்கள் வரவு தமிழ் விக்கிபீடியாவிற்கு மேலும் பலம் சேர்க்கும் என நம்புகிறேன்
1016, தற்போது தனியார் வானொலி நிலையம் ஒன்றில் பணியாற்றி வருகிறார்
1017, இந்த தலைப்பில் எழுத நீங்களே நல்ல பொருத்தம்
1018, இவற்றின் முக்கியத்துவம் ஏ தொடங்கி குறைந்து கொண்டு செல்கிறது
1019, கருநாடக இசை அறிஞர்கள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள்
1020, மயூரநாதன் நீங்கள் விடுமுறை என்பதை அறிவேன்
1021, கோபி ரவி உமாபதி அனைவருக்கும் நன்றிகள்
1022, வேளாண்மை தொடர்பான கட்டுரைகள் இந்த பக்க வகையில் அடங்கும்
1023, தமிழ் மட்டுமல்ல எல்லா மொழிகளிலும் அவ்வாறு உள்ளன
1024, நீங்கள் பல பயனுள்ள வார்ப்புருக்களை உருவாக்கி வருவது கண்டு மகிழ்ச்சி
1025, ஆனாலும் ஆனந்தன் என்ற தலைப்பு அவ்வளவு பொருத்தமாக இல்லை
1026, வேதியியல் தொடர்பான கட்டுரைகள் இந்த பக்க வகையில் அடங்கும்
1027, இது வேதியியல் வினை என்று இருக்க வேண்டும் என நினைக்கிறேன்
1028, தமிழீழ விடுதலைப் புலிகள் இயக்கத்தின் தலைவர் ஆவார்
1029, ஜோர்ஜியா மாநிலத்தின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்
1030, மயூரநாதன் ஏற்ற மாற்றங்களை நீங்களே ஏற்படுத்தி விடுங்கள்
1031, அதில் ஒரு பகுதி தமிழர் வானியல் பற்றி பல செய்திகளை தருகின்றது
1032, இது பிரான்ஸ் ஜெர்மனி ஆகிய நாடுகளுக்கு அடுத்து அமைந்துள்ளது
1033, ஜாவா என்னும் தலைப்பில் உள்ள கட்டுரைகள் கீழே உள்ளன
1034, நல்ல தமிழ்ச் சொற்களைப் பயன்படுத்த வேண்டும் என்பதில் எனக்கு மாற்றுக் கருத்து இல்லை
1035, வேதியியல் என்று இருக்கவேண்டும் என்று எண்ணுகிறேன்
1036, இக் கட்டுரைகளிலும் லைடன் தீவு என்றே குறிப்பிடப்பட்டுள்ளது
1037, தமிழின் சிறப்பு என்னவென்றால் சொற்களை உணர்ந்து புரிய முடியும்
1038, அதை அனைவரும் ஏற்றுக்கொள்ள வேண்டிய அவசியம் இல்லை
1039, இவரைப் போல் இன்னும் பல பயனர்கள் விக்கிபீடியாவுக்கு வர வேண்டும் என்பது என் ஆவல்
1040, மணி ஜயர் மற்றும் பலரும் நடித்துள்ளனர்
1041, பழமையான முக்கிய இசை நூல்களில் இந்த இராகத்தின் பெயர் காணப்படுகின்றது
1042, இது மிகவும் குழப்பம் தரும் ஒன்றாக உள்ளது
1043, இவை நான்கு முதல் பத்து ஆண்டுகள் உயிர் வாழ்கின்றன
1044, விஜயன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் சுமித்ரா சுஜாதா மற்றும் பலரும் நடித்துள்ளனர்
1045, ஏனெனில் இரு சொற்களும் வேறு பொருள் கொண்டவை
1046, முத்துராமன் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ரஜினிகாந்த் ஸ்ரீகாந்த் மற்றும் பலரும் நடித்துள்ளனர்
1047, என்னைப் பற்றிய உங்கள் அறிமுகம் கண்டேன்
1048, இனி நானும் தமிழிலேயே எழுத முயல்கிறேன்
1049, விக்கிபீடியா பயனர்கள் பாலச்சந்திரன் மற்றும் கோபி உடைய ஆக்கத்தை அடிப்படையாகக் கொண்டது
1050, உண்மையில் வேறு பலர் எழுதிய கட்டுரைகளையும் இப்படி கருத்து கூறலாம்
1051, அறிவியல் கட்டுரைகளில் ஒரே சொல் அனைத்து இடங்களிலும் வருதல் வேண்டும்
1052, ஆங்கில விக்கிபீடியாவில் இதை விட விரிவாக கதை விளக்கும் கட்டுரைகள் உள்ளன
1053, இன்று ஆங்கிலம் ஒரு உலக மொழி
1054, ஆமாம் ரவி செய்தி தகவல்கள் தான்
1055, விரைவில் பங்களிக்க வாய்ப்பு கிடைக்கும் என்று எதிர்பார்க்கிறேன்
1056, பாலு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் சரோஜா தேவி மற்றும் பலரும் நடித்துள்ளனர்
1057, தமிழ் விக்கிமூலம் தொடர்பிலும் அதிக கவனம் எடுக்க வேண்டும்
1058, துணை வகைகள் இலக்கியத்தின் கீழ் உள்ள வகைகள்
1059, ஒரு கட்டுரைக்கு ஒரு முறை இணைப்பு தந்தால் போதுமானது
1060, எனவே களம் நிலம் போன்ற ஏதேனும் ஒன்று பொருந்தும்
1061, ஸ்ரீதர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் முத்துராமன் பாலாஜி மற்றும் பலரும் நடித்துள்ளனர்
1062, தற்காலத்தில் இலங்கையில் இரண்டு குழுக்கள் உள்ளன
1063, ஒரு வேளை அந்தச் சொற்களை மாற்றும் முன் பேச்சு பகுதியில் முன் வைத்திருக்க வேண்டுமா என்று தெரியவில்லை
1064, ஆறு என்றால் வழி என்று பொருள்
1065, இது பற்றி மேலும் அறிய முயல்கிறேன்
1066, பொதுவாக தமிழ் விக்கிபீடியா கட்டுரைகளில் நல்ல தமிழ் பயன்படுத்தப்படுகிறது
1067, பாகிஸ்தான் தொடர்பான குறுங்கட்டுரைகள் குறித்த கட்டுரையைத் தொடங்குங்கள்
1068, இவை யாழ்ப்பாணத்தில் பிரபலமான உணவு வகைகள்
1069, இவர்களின் மொழி டச்சு மொழி ஆகும்
1070, அதன் பிறகு ஏறத்தாழ இரண்டு ஆண்டுகளுக்கு விக்கிரம சோழனின் ஆட்சி தொடர்ந்து நடைபெற்றது
1071, சர்வதேச என்பதற்கு பதில் அனைத்துலக என்று சொல்லலாம்
1072, சுந்தரம் பாலச்சந்தர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவாஜி கணேசன் மற்றும் பலரும் நடித்துள்ளனர்
1073, அதுவே முக்கியமான பிரச்சினைகள் ஆகவும் இருக்கக்கூடும்
1074, ரவி வேறு ஒரு நண்பர் சுட்டிக் காட்டினார்
1075, அந்த சொற்கள் பல இன்றும் இலங்கையில் வழக்கமாக இருக்கின்றன
1076, புதிய தமிழகம் கட்சி ஒரு தமிழ்நாட்டு அரசியல் கட்சி
1077, இங்கு என்ன பிரச்சினை என்பது விளங்கவில்லை
1078, இது காட்டு மனிதன் எனப் பொருள் தரும்
1079, இந்தியாவின் கிழக்குப் பகுதியில் அமைந்த மாநிலமாகும்
1080, இதை விட சிறந்த கலைச்சொற்கள் இருக்க வேண்டும்
1081, சோழர்கள் பற்றிய ஒரு கட்டுரை ஏற்கனவே உண்டு
1082, பாகிஸ்தான் தொடர்பான குறுங்கட்டுரைகள் பற்றி பிற கட்டுரைகளில் தேடிப்பாருங்கள்
1083, பாலச்சந்தர் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் சிவகுமார் ஜெயசித்ரா மற்றும் பலரும் நடித்துள்ளனர்
1084, அந்த சொல்லின் மூலம் பற்றி தெரியாது
1085, ஆயினும் அதில் தமிழ் மொழி இருக்கவில்லை
1086, இவரின் அரசியல் தமிழீழ விடுதலைப் புலிகளின்
1087, உலகில் பல்வேறு இசை முறைகள் வழங்கி வருகின்றன
1088, நீங்கள் இங்கு வந்து கட்டுரை எழுதுவதில் எனக்கு மிகவும் மகிழ்ச்சி
1089, கட்டுரையில் மாற்றுவது பொருந்தும் என நினைக்கிறேன்
1090, எடுத்துக் காட்டு என்பது தமிழ் உதாரணம் என்பது வடமொழியில் இருந்து தமிழில் வழங்கும் கடன் சொல்
1091, துரை இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ரஜினிகாந்த் ஜெயசித்ரா மற்றும் பலரும் நடித்துள்ளனர்
1092, இது ஒரு இஸ்லாமிய குடியரசு நாடாகும்
1093, நம்பியார் ஆகியோரின் இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் மற்றும் பலரும் நடித்துள்ளனர்
1094, எதிர் இணைப்புக்களை தானியங்கி ஏற்படுத்தி விடும்
1095, இந் நூல்களில் பெரும்பாலும் தமிழ்ச் சொற்கள் மட்டுமே இருக்கும்
1096, இது என் வீடு பற்றிய கட்டுரையின் விருத்தி தொடர்பான கலந்துரையாடலுக்கான பேச்சுப் பக்கமாகும்
1097, அதைத் தெளிவாக முதல் வரியில் குறிப்பிடுவது நலம்
1098, தற்சமயம் நான்கு நிலைகளில் வகை செய்யப்படுகின்றன
1099, இன்று முழுவதும் இது அதிகரிக்க வில்லை
1100, இதனால் ஒரு சிறு குழப்பம் வர வாய்ப்புள்ளது
1002, ஊட்டி  மற்ற எல்லா இடங்களையும் விட மிக குளிர்ந்த பகுதியாகும்.
1003, எனக்கு ஒரு வங்கியில் வேலை கிடைத்தது.
1004, அவள் வேகமாக நடப்பாள்
1005, நான் தினமும் இருமுறை குளிக்கிறேன்
1006, நல்ல குழந்தை எப்பொழுதும் நன்றாக படிக்கும்
1007, அவள் எப்பொழுதும் வளையல்கள் அணிந்திருப்பாள்
1008, என் அம்மா வீட்டை சுத்தம் செய்துக் கொண்டிருக்கிறார்
1009,  ஆசிரியை பள்ளிக்கூடத்துக்கு சென்றுக் கொண்டிருக்கிறார்
1010, பூனை மரத்தடியில் படுத்துக் கொண்டிருக்கிறது
1011, நான் கதை புத்தகம் படித்துக் கொண்டிருக்கிறேன்
1012, நான் கதை புத்தகம் படித்துக் கொண்டிருக்கிறேன்
1013, அவள் கடைக்கு போய்க் கொண்டிருக்கிறாள்
1014, நான் சென்னை போய்க் கொண்டிருக்கலாம்
1015,  அவள் பொம்மைகளுடன் விளையாடிக் கொண்டிருக்கலாம்
1016, சீதா புத்தகம் படித்துக் கொண்டிருக்கலாம்
1017, அவன் பணத்தை திருப்பி தந்து விடலாம்
1018, அவர்கள் சொல்வது சரியாக இருக்கலாம்
1019, அவன் பேனாவை திருப்பி கொடுத்து விடலாம்
1020, நான் நிச்சயமாக காலையில் திரும்பி விடுவேன்
1021, குழந்தைகள் பள்ளிக்கூடத்துக்கு செல்வார்கள்
1022, நான் இந்த அறையை விட்டு எப்பொழுது வேண்டுமானாலும் விடைபெறுவேன்
1023, நான் என்னுடைய தோழர்களை அழைக்கலாம்
1024, இல்லை எனக்கு காய்ச்சல் உள்ளது
1025, குரைக்கிற நாய் கடிக்காது
1026, ஒன்றும் செய்ய இயலாது
1027, வீட்டிற்கு வந்து பொருட்களை தர முடியுமா?
1028, எனக்கு நீந்த முடியும்.ஏன் முடியாதா?
1029,   அவர்கள் சாப்பிட்டு கொண்டிருக்கிறார்கள்.இல்லையா?
1030, உனது பொம்மையை கண்டுப்பிடிக்க முடியவில்லையா?
1031,   தண்ணீர் தாரலமாக உள்ளது.இல்லையா என்ன?
1032, நீ பள்ளிக்கூடத்துக்கு செல்ல வில்லையா?
1033, அவர்கள் நிச்சயம் வருவார்கள்.இல்லயா?
1034,  உனது பந்தை கண்டுப்பிடிக்க முடியவில்லையா?
1035, நீங்கள் ஏன் வரவில்லை?
1036, நீங்கள் எப்படி இங்கே வந்தீர்கள்
1038, நீ ஆனந்தமாக இருக்கிறாயா?
1039, அவன் பாடி கொண்டிருந்தானா?
1040, நேற்று நீ சந்தோஷமாக இருந்தாயா?
1041, காபி மிகவும் சூடாக இருந்ததா?
1042, இப்பொழுது மணி என்ன?
1043,  உன்னுடைய வயது என்ன?
1044,   நீ எப்பொழுது வருவாய்?
1045, உங்களுடைய வீடு எது?
1046,  உங்களுடைய பேனா எது?
1047, உங்களுக்கு பிடித்த வண்ணம் எது?
1048, உங்களுடைய புத்தகம் எது?
1049, நீங்கள் எப்படி சமாளிக்கிறீர்கள்?
1050, நான் எவ்வளவு பணம் செலுத்த வேண்டும்?
1051, வகுப்பறையில் எத்தனை மாணவர்கள் உள்ளனர்?
1052, நான் எத்தனை காலம் காத்திருக்க வேண்டும்?
1053, இங்கு எத்தனை பேர் உள்ளனர்?
1054, டெல்லியில் எத்தனை காலமாக இருக்கிறீர்கள்?
1055,  உனக்கு என்ன வயது?
1056, நீங்கள் எப்படி இருக்கிறீர்கள்?
1057, அந்த பாடல் யார் பாடினார்?
1058, அந்த நபர் யார்?
1059, நீங்கள் யாருக்கு வாக்கு கொடுத்தீர்கள்?
1060, நாம் யாரை சந்திக்க வேண்டும்?
1061, யாருடைய வீடு அது?
1062,  அந்த புத்தகம் யாருடையது
1063, அங்கு யார் நிற்ப்பது?
1064, நேற்று யார் ஆடினார்கள்?
1065, நீ எதற்கு ஆனந்தமாய் இருக்கிறாய்?
1066,  அவள் எதற்கு அழுதாள்?
1067, உன்னுடைய கைகடிகாரம் எங்கே?
1068,  உன்னுடைய வீடு எங்கே?
1069, உன்னுடைய பிறந்த நாள் எப்பொழுது?
1070, நீ எப்பொழுது வருவாய்?
1071, உன்னுடைய வயது என்ன?
1072,  இப்பொழுது மணி என்ன?
1073, நான் உங்களுடைய கவனத்தை பெறலாமா?
1074, நாம் இதை சேர்ந்து செய்வோமா?
1075, என்னை கோயிலில் இறக்கி விட முடியுமா?
1076, எனக்கு உன்னுடைய வளையல்களை தர முடியுமா?
1077, நான் உன் கூட விளையாடலாமா?
1078, அவன் அலுவலகத்துக்கு வர முடியுமா?
1079, நான் உள்ளே வரலாமா?
1080, நீ எனக்கு பதில் சொல்ல முடியுமா?
1081, பதில் தவறாக இருந்தாலும் நீ எனக்கு அதை சொல்வாயா?
1082, நாம் விளையாடுவோமா?
1083, அவன் எனக்கு சாக்லேட்கள் தருவானா?
1084, நாம் பள்ளிக்கூடத்திற்கு செல்வோமா?
1085,  அவர்கள் கல்யாணத்திற்க்கு செல்வார்களா?
1086, நான் உன்னை தொந்தரவு செய்யக் கூடாதா?
1087,  நான் கோயிலுக்கு வர வேண்டுமா?
1088, நீ எனக்கு அந்த புத்தகம் தருவாயா?
1089,  நீ உன்னுடைய பணத்தை செலவழித்து விட்டாயா ?
1090, நீ எப்பொழுதாவது டெல்லிக்கு சென்றிருக்கிறாயா ?
1091, நீ மதியம் உணவு சாப்பிடாயா ?
1092, அவன் கதையை எழுதி முடித்தானா?
1093, அனு பேருந்தை தவர விட்டாளா?
1094, நீ உன்னுடைய வேலையை முடித்து விட்டாயா?
1095, நீ உன்னுடைய பேனாவை கண்டுப்பிடித்து விட்டாயா?
1096, நீ மணி அடித்தாயா ?
1097, நீ என்னை அழைத்தாயா?
1098,  அங்கு மழை பெய்யுமா?
1099,  நீ ஹிந்தி பேசுவாயா?
1100, நீ புகைப்பிடிப்பாயா ?
1101, அவள் குளித்தாளா ?
1102,   நீ அங்கு சென்றாயா ?
1103, அவனுக்கு பிடித்திருக்கிறதா ?
1104, நன்றி.
1105, ஜன்னலைத் திற
1106, தயவு செய்து எனக்கு உதவி செய்
1107, அறம் செய விரும்பு
1108, ஆறுவது சினம்
1109, கண்டொன்று சொல்லேல்
1110, நன்றி மறவேல்
1111, தயவுசெய்து பள்ளிக்குச் செல்லுங்கள்
1112, முன் கதவை மூடு
1113, வெளியே போ!
1114, தயவுசெய்து அமைதியாக இருங்கள்.
